epoch,bpm
1783961799.0,123.0
1783961804.0,124.0
1783961806.0,124.0
1783961810.0,122.0
1783961828.0,127.0
1783961834.0,134.0
1783961839.0,133.0
1783961840.0,132.0
1783961848.0,124.0
1783961860.0,116.0
1783961864.0,116.0
1783961868.0,113.0
1783961872.0,110.0
1783961876.0,108.0
1783961884.0,100.0
1783961888.0,97.0
1783961895.0,92.0
1783961899.0,92.0
1783961901.0,91.0
1783961927.0,89.0
1783961932.0,91.0
1783961937.0,90.0
1783961938.0,90.0
1783961944.0,88.0
1783961950.0,87.0
1783961953.0,87.0
1783961962.0,90.0
1783961964.0,90.0
1783961968.0,89.0
1783961985.0,91.0
1783961990.0,89.0
1783961994.0,88.0
1783961998.0,87.0
1783962005.0,87.0
1783962007.0,87.0
1783962011.0,93.0
1783962020.0,105.0
1783962025.0,97.0
1783962029.0,94.0
1783962043.0,96.0
1783962048.0,96.0
1783962052.0,97.0
1783962054.0,97.0
1783962063.0,96.0
1783962067.0,96.0
1783962069.0,95.0
1783962076.0,94.0
1783962135.0,91.0
1783962140.0,93.0
1783962142.0,93.0
1783962150.0,87.0
1783962151.0,87.0
1783962156.0,91.0
1783962165.0,89.0
1783962168.0,90.0
1783962175.0,88.0
1783962176.0,89.0
1783962195.0,92.0
1783962200.0,88.0
1783962204.0,87.0
1783962206.0,87.0
1783962213.0,86.0
1783962219.0,87.0
1783962224.0,86.0
1783962230.0,86.0
1783962265.0,94.0
1783962270.0,93.0
1783962273.0,91.0
1783962280.0,86.0
1783962284.0,87.0
1783962286.0,88.0
1783962292.0,89.0
1783962296.0,89.0
1783962304.0,91.0
1783962306.0,90.0
1783962327.0,90.0
1783962332.0,89.0
1783962333.0,88.0
1783962341.0,90.0
1783962344.0,91.0
1783962352.0,92.0
1783962353.0,92.0
1783962360.0,89.0
1783970521.0,94.0
1783970526.0,95.0
1783970621.0,93.0
1783970626.0,99.0
1783970631.0,98.0
1783970634.0,95.0
1783970639.0,91.0
1783970642.0,90.0
1783970647.0,88.0
1783970656.0,83.0
1783970657.0,82.0
1783970662.0,81.0
1783970680.0,77.0
1783970685.0,77.0
1783970690.0,75.0
1783970695.0,75.0
1783970700.0,74.0
1783970715.0,90.0
1783970720.0,97.0
1783970724.0,91.0
1783970737.0,86.0
1783970742.0,84.0
1783970746.0,84.0
1783970748.0,84.0
1783970753.0,86.0
1783970769.0,83.0
1783970777.0,78.0
1783970782.0,79.0
1783970877.0,89.0
1783970882.0,86.0
1783970887.0,84.0
1783970889.0,83.0
1783970896.0,82.0
1783970898.0,83.0
1783970903.0,86.0
1783970912.0,85.0
1783970959.0,107.0
1783970964.0,102.0
1783970965.0,100.0
1783970974.0,102.0
1783970976.0,102.0
1783971082.0,111.0
1783971087.0,112.0
1783971553.0,93.0
1783971558.0,91.0
1783971563.0,92.0
1783971568.0,94.0
1783971571.0,94.0
1783971646.0,98.0
1783971651.0,97.0
1783971653.0,97.0
1783971659.0,101.0
1783971662.0,103.0
1783971671.0,108.0
1783971702.0,114.0
1783971703.0,113.0
1783971704.0,113.0
1783971711.0,125.0
1783971753.0,110.0
1783971774.0,116.0
1783974518.0,89.0
1783975115.0,84.0
1783975116.0,90.0
1783975117.0,91.0
1783975118.0,91.0
1783975119.0,94.0
1783975120.0,91.0
1783975124.0,90.0
1783975125.0,89.0
1783975126.0,88.0
1783975127.0,87.0
1783975128.0,87.0
1783975129.0,90.0
1783975130.0,96.0
1783975131.0,107.0
1783975132.0,107.0
1783975139.0,106.0
1783975142.0,102.0
1783976320.0,97.0
1783976321.0,97.0
1783976322.0,94.0
1783976323.0,93.0
1783976324.0,87.0
1783976325.0,84.0
1783976326.0,82.0
1783976327.0,79.0
1783976328.0,75.0
1783976329.0,70.0
1783976330.0,69.0
1783976332.0,91.0
1783976333.0,86.0
1783976334.0,75.0
1783976335.0,71.0
1783976336.0,70.0
1783976337.0,69.0
1783976338.0,68.0
1783976339.0,67.0
1783976340.0,67.0
1783976341.0,66.0
1783976342.0,66.0
1783976343.0,66.0
1783976344.0,67.0
1783976345.0,69.0
1783976364.0,72.0
1783976365.0,72.0
1783976366.0,73.0
1783976367.0,73.0
1783976368.0,75.0
1783976369.0,75.0
1783976370.0,76.0
1783976371.0,77.0
1783976372.0,77.0
1783976373.0,77.0
